31.8355 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=np.float64(0.05000000000000001), labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.4]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
31.8356 	EXP 	window1: mouseVisible = False
31.8372 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(0.05000000000000001), italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Hello welcome to X experiment\n', units='height', win=Window(...), wrapWidth=1)
31.8383 	EXP 	window1: mouseVisible = False
31.8391 	EXP 	window1: mouseVisible = False
31.8399 	EXP 	window1: mouseVisible = False
31.8429 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-1, fillColor=None, flip=False, font='Open Sans', granularity=0.0, labelColor=None, labelHeight=np.float64(0.05000000000000001), labelWrapWidth=None, labels=None, lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0. , -0.4]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5]), units='height', win=Window(...))
0.0116 	EXP 	slider: autoLog = True
0.0116 	EXP 	slider: styleTweaks = []
0.0116 	EXP 	slider: styleTweaks = []
0.0116 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0116 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0116 	EXP 	slider: contrast = 1.0
0.0116 	EXP 	slider: markerPos = None
0.0116 	EXP 	slider: autoLog = True
0.0116 	EXP 	slider: autoLog = True
0.0116 	EXP 	slider: styleTweaks = []
0.0116 	EXP 	slider: styleTweaks = []
0.0116 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0116 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0116 	EXP 	slider: contrast = 1.0
0.0116 	EXP 	slider: markerPos = None
0.0116 	EXP 	slider: autoLog = True
0.0116 	EXP 	slider: autoLog = True
0.0116 	EXP 	slider: styleTweaks = []
0.0116 	EXP 	slider: styleTweaks = []
0.0116 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0116 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0116 	EXP 	slider: contrast = 1.0
0.0116 	EXP 	slider: markerPos = None
0.0116 	EXP 	slider: autoLog = True
0.0116 	EXP 	slider: autoLog = True
0.0116 	EXP 	slider: styleTweaks = []
0.0116 	EXP 	slider: styleTweaks = []
0.0116 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0116 	EXP 	slider: styleTweaks = ['triangleMarker']
0.0116 	EXP 	slider: contrast = 1.0
0.0116 	EXP 	slider: markerPos = None
0.0116 	EXP 	slider: autoLog = True
0.0120 	EXP 	New trial (rep=0, index=0): <Trial 0 (0 in rep 0) data={'thisN': 0, 'thisTrialN': 0, 'thisRepN': 0}>
0.0211 	EXP 	slider: markerPos = None
0.0211 	EXP 	slider: markerPos = None
0.0211 	EXP 	text: autoDraw = True
0.0211 	EXP 	slider: autoDraw = True
0.9299 	WARNING 	t of last frame was 21.51ms (=1/46)
1.0203 	EXP 	text: autoDraw = False
2.1118 	DATA 	Mouse: Right button down, pos=(1351,405)
2.6133 	WARNING 	t of last frame was 21.26ms (=1/47)
2.6687 	DATA 	Mouse:  Right button up, pos=(1065,381)
3.0183 	DATA 	Mouse: Left button down, pos=(1234,394)
3.3346 	DATA 	Mouse:  Left button up, pos=(1322,422)
3.6598 	DATA 	Mouse: wheel shift=(0,0), pos=(1285,417)
3.6600 	DATA 	Mouse: wheel shift=(0,0), pos=(1285,417)
3.6672 	DATA 	Mouse: wheel shift=(-1,0), pos=(1285,417)
3.6812 	DATA 	Mouse: wheel shift=(0,0), pos=(1285,417)
3.6854 	DATA 	Mouse: wheel shift=(0,0), pos=(1285,417)
3.6856 	DATA 	Mouse: wheel shift=(0,0), pos=(1285,417)
3.7065 	DATA 	Mouse: wheel shift=(0,0), pos=(1285,417)
3.7070 	DATA 	Mouse: wheel shift=(0,0), pos=(1285,417)
3.7107 	DATA 	Mouse: wheel shift=(0,0), pos=(1285,417)
3.7273 	DATA 	Mouse: wheel shift=(-1,-1), pos=(1285,417)
3.7441 	DATA 	Mouse: wheel shift=(-2,0), pos=(1285,417)
3.7480 	DATA 	Mouse: wheel shift=(0,0), pos=(1285,417)
3.8186 	DATA 	Mouse: wheel shift=(0,0), pos=(1285,417)
3.9352 	DATA 	Mouse: Right button down, pos=(1285,417)
3.9522 	DATA 	Mouse: wheel shift=(0,0), pos=(1285,417)
4.1862 	DATA 	Mouse:  Right button up, pos=(1282,420)
4.2228 	DATA 	Mouse: wheel shift=(0,0), pos=(1283,421)
4.2463 	DATA 	Mouse: wheel shift=(0,0), pos=(1283,421)
4.2610 	DATA 	Mouse: wheel shift=(0,0), pos=(1283,421)
4.2680 	DATA 	Mouse: wheel shift=(0,0), pos=(1283,421)
4.2849 	DATA 	Mouse: wheel shift=(0,0), pos=(1283,421)
4.2886 	DATA 	Mouse: wheel shift=(0,0), pos=(1283,421)
4.3049 	DATA 	Mouse: wheel shift=(0,0), pos=(1283,421)
4.3050 	DATA 	Mouse: wheel shift=(0,0), pos=(1283,421)
4.3084 	DATA 	Mouse: wheel shift=(0,0), pos=(1283,421)
4.3226 	DATA 	Mouse: wheel shift=(0,0), pos=(1283,421)
4.3265 	DATA 	Mouse: wheel shift=(0,0), pos=(1283,421)
4.3429 	DATA 	Mouse: wheel shift=(1,0), pos=(1283,421)
4.3615 	DATA 	Mouse: wheel shift=(0,0), pos=(1285,418)
4.3622 	DATA 	Mouse: wheel shift=(0,0), pos=(1294,409)
4.3658 	DATA 	Mouse: wheel shift=(1,0), pos=(1301,398)
4.3824 	DATA 	Mouse: wheel shift=(0,0), pos=(1307,389)
4.3827 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.4063 	DATA 	Mouse: wheel shift=(1,0), pos=(1315,376)
4.4109 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.4261 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.4440 	DATA 	Mouse: wheel shift=(1,0), pos=(1315,376)
4.4647 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.4666 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.4746 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.4895 	DATA 	Mouse: wheel shift=(1,0), pos=(1315,376)
4.4929 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.5089 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.5275 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.5337 	DATA 	Mouse: wheel shift=(1,0), pos=(1315,376)
4.5509 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.5732 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.5738 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.5895 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.5928 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.6064 	DATA 	Mouse: wheel shift=(1,0), pos=(1315,376)
4.6097 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.6101 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.6914 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.7123 	DATA 	Mouse: Right button down, pos=(1315,376)
4.7226 	DATA 	Mouse: wheel shift=(0,0), pos=(1315,376)
4.8792 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
5.2277 	DATA 	Mouse:  Right button up, pos=(1053,324)
5.6042 	DATA 	Keypress: space
6.8009 	DATA 	Mouse: Left button down, pos=(1320,391)
6.9321 	DATA 	Mouse:  Left button up, pos=(1319,391)
7.0165 	DATA 	Mouse: Left button down, pos=(1319,391)
7.1214 	DATA 	Mouse:  Left button up, pos=(1319,391)
7.4176 	DATA 	Mouse: Right button down, pos=(1319,391)
8.1027 	DATA 	Mouse:  Right button up, pos=(1059,445)
8.1665 	DATA 	Mouse: wheel shift=(0,0), pos=(1058,445)
8.1668 	DATA 	Mouse: wheel shift=(0,0), pos=(1058,445)
8.2731 	DATA 	Mouse: wheel shift=(0,0), pos=(1058,445)
8.3275 	DATA 	Mouse: wheel shift=(0,0), pos=(1058,445)
8.7924 	DATA 	Keypress: left
9.0805 	DATA 	Keypress: right
9.4456 	DATA 	Keypress: right
9.5231 	DATA 	Keypress: up
9.7458 	DATA 	Keypress: down
9.9957 	DATA 	Keypress: left
10.2777 	DATA 	Keypress: left
10.4924 	DATA 	Keypress: left
10.7314 	DATA 	Keypress: right
11.0733 	DATA 	Keypress: left
11.3346 	DATA 	Keypress: down
11.8064 	DATA 	Mouse: Left button down, pos=(1058,445)
11.9907 	DATA 	Mouse:  Left button up, pos=(1058,445)
12.1678 	DATA 	Mouse: Right button down, pos=(1045,422)
12.1680 	DATA 	Mouse: wheel shift=(0,0), pos=(1045,422)
12.1682 	DATA 	Mouse: wheel shift=(0,0), pos=(1045,422)
12.5641 	DATA 	Mouse:  Right button up, pos=(935,418)
12.8517 	DATA 	Mouse: Left button down, pos=(986,362)
13.1728 	DATA 	Mouse:  Left button up, pos=(833,351)
13.6758 	DATA 	Keypress: escape
13.7731 	EXP 	untitled: status = STOPPED
13.7774 	EXP 	slider: autoDraw = False
13.7774 	EXP 	untitled: status = STOPPED
13.7808 	INFO 	saved data to '/Users/aniluchavez/Documents/GitHub/Scratch/Code/data/328882_untitled_2024-10-22_14h59.33.135.csv'
13.7817 	INFO 	saved data to /Users/aniluchavez/Documents/GitHub/Scratch/Code/data/328882_untitled_2024-10-22_14h59.33.135.psydat
13.8118 	EXP 	window1: mouseVisible = True
